Place of interest,Place address,BiciMAD station,Station location,Bikes_available
CEV Centro de Arte y Tecnología,Calle Gaztambide 65,Cea Bermúdez,Calle Cea Bermúdez nº 59,4
Casa de Niños Daniel Vázquez Díaz,Calle Armenteros 46,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Casa de Niños Giner de los Ríos,Calle Membezar 25,Concordia,Calle Arroyo del Olivar nº 6,21
Casa de Niños Lope de Vega,Calle Inglaterra 8 Ubicada En C. P. Lope De Vega,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Casa de Niños Nuestra Señora de la Fuencisla,Calle Tomelloso 40 Ubicada En C.P. Ntra. Sra Fuencisla,Glorieta de Cádiz,Calle Antonio López nº 129,18
Casa de Niños República de Brasil,Avenida Fueros 34 Ubicada En C. P. Republica Brasil,Embajadores 191,Calle Sodio nº 1B,11
Casa de Niños San Miguel,Avenida Virgen Del Carmen 32,Pío XII,Avenida Pío XII nº 3,17
Centro  de Educación Especial Colegio Gaudem,Calle Playa De Barlovento 14,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Centro Bobath de Formación Profesional,Calle Mirador De La Reina 115,Pedro Rico,Calle Pedro Rico nº 4,0
Centro Bobath de educación de adultos,Calle Mirador De La Reina 115,Pedro Rico,Calle Pedro Rico nº 4,0
Centro Cultural y Deportivo Tajamar,Calle Pio Felipe 12,Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,16
Centro Educativo Global College,Calle Castellon De La Plana 8,Serrano 113,Calle Serrano nº 113B,8
Centro Educativo Ponce de León,Calle Eduardo Barreiros 6,Glorieta de Cádiz,Calle Antonio López nº 129,18
Centro Estudios Musicales Pinzón,Calle Halcon 11,Caramuel,Calle Caramuel nº 51,5
Centro Extranjero La Estrella del Pez Luna,Avenida Casa Quemada 5,Facultad Derecho,Avenida Complutense nº 23,8
Centro Integrado de Enseñanzas Artísticas de Música y Educación Secundaria Federico Moreno Torroba,Calle General Ricardos 177,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Centro Municipal de Educación de Adultos. Distrito Arganzuela.,Paseo Chopera 10 Casa Del Reloj,Entrada Matadero,Paseo de la Chopera nº 14,1
Centro Municipal de Educación de Adultos. Distrito Barajas.,"Calle Playa De Bolnuevo (Acceso Por Playa De San Juan, 7) 20",Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Centro Municipal de Educación de Adultos. Distrito Moncloa - Aravaca. Avenida Valladolid,Avenida Valladolid 2 En  Colegio Público  Fernández De Moratín,Paseo de Moret,Paseo de Moret nº 11,13
Centro Municipal de Educación de Adultos. Distrito Moncloa - Aravaca. Calle Francos Rodríguez,Calle Francos Rodriguez 77,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
"Centro Pauta, Centro de día",Calle Pobladura Del Valle 13,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
"Centro Politécnico a distancia y Editorial CPD, SL",Calle Sangenjo 34,Pedro Rico,Calle Pedro Rico nº 4,0
Centro Privado de Educación de Personas Adultas ACADEF,Calle Canarias 3,Santa María de la Cabeza,Paseo de Santa María de la Cabeza nº 58,5
Centro Privado de Educación de Personas Adultas CICA,Calle Eduardo Rivas 10,San Delfín,Calle San Delfín nº 9,17
"Centro Privado de Educación de Personas Adultas Educación, cultura y solidaridad",Calle Paterna 49,Embajadores 191,Calle Sodio nº 1B,11
Centro Privado de Educación de Personas Adultas Escuela Popular de Prosperidad,Calle Luis Cabrera 19,Prosperidad,Calle Suero de Quiñones nº 2,8
Centro Privado de Educación de Personas Adultas INAV,Calle Jose Abascal 55,Zurbano,Calle Zurbano nº 90,7
Centro Privado de Educación de Personas Adultas Nazaret,Calle Cuart De Poblet 6,Caramuel,Calle Caramuel nº 51,5
Centro Privado de Educación de Personas Adultas Practivox,Calle Atocha 93,Santa Isabel,Calle Atocha nº 95,17
Centro Regional Enseñanzas Integradas Sagrado Corazón de Jesús,Camino Carretera De El Pardo A Colmenar Viejo Km.13500,Pedro Rico,Calle Pedro Rico nº 4,0
Centro Sociocultural Clara Campoamor (Retiro),Plaza Daoiz Y Velarde 2 Planta 1ª,Junta Municipal Retiro,Calle León Gil de Palacio nº 3,7
Centro Sociocultural Santa Petronila (Villaverde),Calle Maria Martinez Oviol 12,Embajadores 191,Calle Sodio nº 1B,11
Centro Superior CEAC de Formación Profesional,Plaza Cronos 1,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Centro Superior Música Creativa,Calle Palma 35,Plaza de Juan Pujol,Calle Espíritu Santo nº 30,17
Centro Superior de Arte Dramático Scaena,Calle Coslada 7 Bis,Avenida de América 1,Calle Padre Indalecio Hernández nº 1,2
Centro Superior de Diseño y Arte Digital,Calle Mar Adriatico 11,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Centro Superior de Diseño y Moda de Madrid,Carretera Valencia 7 Bloque I,Pavones,Calle Hacienda de Pavones nº 342,16
Centro Superior de Enseñanza Musical Katarina Gurska,Calle Santa Engracia 181,Alonso Martínez,Plaza de Alonso Martínez nº 5,22
Centro Superior de Hostelería del Mediterráneo,Paseo Ermita Del Santo 48,Ermita Santo,Paseo de la Ermita del Santo nº 48,5
Centro Universitario La Salle,Calle La Salle 10,Facultad Derecho,Avenida Complutense nº 23,8
Centro de Danza Carmen Roche,Calle Coslada 7,Avenida de América 1,Calle Padre Indalecio Hernández nº 1,2
Centro de Educación Aviation and MAintenance Group,Avenida Orovilla 10,Embajadores 191,Calle Sodio nº 1B,11
Centro de Educación Especial  El Cole de Celia y Pepe,Calle Sopelana 5,Pedro Rico,Calle Pedro Rico nº 4,0
Centro de Educación Especial A LA PAR,Calle Monasterio De Las Huelgas 15,Pedro Rico,Calle Pedro Rico nº 4,0
Centro de Educación Especial Ademo,Calle Hacienda De Pavones 328,Pavones,Calle Hacienda de Pavones nº 342,16
Centro de Educación Especial Aleph,Calle Cueva De Montesinos 49,Pedro Rico,Calle Pedro Rico nº 4,0
Centro de Educación Especial Araya,Calle Ramon Power 9,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Centro de Educación Especial Atenpace,Calle Islas Marquesas 27,Facultad Derecho,Avenida Complutense nº 23,8
Centro de Educación Especial Aucavi,Calle Ricardo Ortiz 29,Puente de Ventas,Avenida de Daroca nº 2,16
Centro de Educación Especial Buenafuente,Calle Protasio Gomez 5,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Centro de Educación Especial C.R.E. Antonio Vicente Mosquete,Avenida Doctor Garcia Tapia (C/V A C/Oberón) 210,Camino Vinateros,Calle Camino de los Vinateros nº 28,16
Centro de Educación Especial Cambrils,Avenida Poblados 151,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Centro de Educación Especial Carmen Fernández Miranda FSDM,Calle Caidos De La Division Azul 15,Pío XII,Avenida Pío XII nº 3,17
Centro de Educación Especial Centro Bobath España,Calle Mirador De La Reina 115,Pedro Rico,Calle Pedro Rico nº 4,0
Centro de Educación Especial Centro Educativo Ponce de León,Calle Eduardo Barreiros 6,Glorieta de Cádiz,Calle Antonio López nº 129,18
Centro de Educación Especial Centro Nuevo de Pedagogía,Calle Tajo 6,Serrano 210,Calle Serrano nº 210,6
Centro de Educación Especial Cisen,Calle Virgen De Aranzazu 5,Pedro Rico,Calle Pedro Rico nº 4,0
Centro de Educación Especial El Despertar,Calle Adonis 1,Caramuel,Calle Caramuel nº 51,5
Centro de Educación Especial Estudio  3,Calle Tapia De Casariego 1,Facultad Derecho,Avenida Complutense nº 23,8
Centro de Educación Especial Fundación Gotze,Carretera Castilla 5,Facultad Derecho,Avenida Complutense nº 23,8
Centro de Educación Especial Instituto Psicopediatría Doctor Quintero Lumbreras,Camino Valverde 76,Pedro Rico,Calle Pedro Rico nº 4,0
Centro de Educación Especial Instituto San José,Calle Pinar De San Jose 98,Caramuel,Calle Caramuel nº 51,5
Centro de Educación Especial Leo Kanner,Calle Peña Del Sol 22,Pedro Rico,Calle Pedro Rico nº 4,0
Centro de Educación Especial Los Álamos,Ronda Sur 229,Concordia,Calle Arroyo del Olivar nº 6,21
Centro de Educación Especial María Corredentora,Calle Luis De La Mata 24,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Centro de Educación Especial Nuestra Señora de las Victorias,Calle Muller 25,Remonta,Calle Azucenas nº 1,12
Centro de Educación Especial Numen,Calle Tabatinga 11,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Centro de Educación Especial Peripatos,Calle Clarisas 16,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Centro de Educación Especial Tao. Sociedad Cooperativa Limitada de Pedagogía Terapéutica,Calle Jose Luis De Arrese 5,Marqués de Corbera 12,Avenida Marqués de Corbera nº 12,15
Centro de Educación Especial del Hospital Infantil de San Rafael,Avenida Concha Espina 32,Parque Berlín,Avenida de Concha Espina nº 34,5
Centro de Educación Guzmán el Bueno II,Calle Pez Volador 30,Plaza de los Astros,Avenida de Nazaret nº 7,5
Centro de Educación Hazerta,Calle Doctor Gomez Ulla 24,Ventas,Avenida de los Toreros nº 49,9
Centro de Educación Superior de Negocios Innovación y Tecnología IUNIT,Calle Alfonso Rodriguez Santamaria 19,Paseo de la Habana 42,Paseo de la Habana nº 42,5
Centro de Educación de Adultos Cen-Taller Norte Joven Villa de Vallecas,Calle Pe&Amp;Ntilde;A Veiga 1,Pavones,Calle Hacienda de Pavones nº 342,16
Centro de Educación de Personas Adultas (CEPA)  Cultural Moratalaz,Calle Corregidor Alonso De Tobar 7,Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,16
Centro de Educación de Personas Adultas (CEPA) Aluche,Calle Oca&Amp;Ntilde;A 35,Caramuel,Calle Caramuel nº 51,5
Centro de Educación de Personas Adultas (CEPA) Arganzuela,Calle Batalla Del Salado 29,Embajadores-Cáceres,Calle Embajadores nº 101,5
Centro de Educación de Personas Adultas (CEPA) Canillejas,Calle Musas 11,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Centro de Educación de Personas Adultas (CEPA) Cid Campeador,Calle Anselmo Lorenzo 12,Caramuel,Calle Caramuel nº 51,5
Centro de Educación de Personas Adultas (CEPA) Ciudad Lineal,Calle Hermanos Garcia Noblejas 70,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Centro de Educación de Personas Adultas (CEPA) Daoíz y Velarde,Calle Fernando Ortiz 2 Planta 2,Glorieta de Cádiz,Calle Antonio López nº 129,18
Centro de Educación de Personas Adultas (CEPA) Distrito Centro,Calle San Bernardo 70 Planta 2,San Vicente Ferrer,Calle San Vicente Ferrer nº 64,20
Centro de Educación de Personas Adultas (CEPA) Dulce Chacón,Calle Abertura 2,Pío XII,Avenida Pío XII nº 3,17
Centro de Educación de Personas Adultas (CEPA) Entrevías,Calle Serena 394,Concordia,Calle Arroyo del Olivar nº 6,21
Centro de Educación de Personas Adultas (CEPA) Fuencarral,Calle Braille 10,Pedro Rico,Calle Pedro Rico nº 4,0
Centro de Educación de Personas Adultas (CEPA) Hortaleza - Mar Amarillo,Calle Mar Amarillo 21,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Centro de Educación de Personas Adultas (CEPA) Joaquín Sorolla,Calle Alonso Heredia 16,Diego de león,Calle Alonso Heredia nº 1,5
Centro de Educación de Personas Adultas (CEPA) José Luis Sampedro,Calle Chantada 34,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Centro de Educación de Personas Adultas (CEPA) La Albufera,Calle Nuestra Señora Del Perpetuo Socorro 23,Concordia,Calle Arroyo del Olivar nº 6,21
Centro de Educación de Personas Adultas (CEPA) Las Rosas,Calle Arcos De Jalon 9,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Centro de Educación de Personas Adultas (CEPA) Los Rosales,Calle Concepcion De La Oliva 17,Embajadores 191,Calle Sodio nº 1B,11
Centro de Educación de Personas Adultas (CEPA) Moncloa,Calle Juan Alvarez Mendizabal 20,Ventura Rodríguez,Calle Duque de Liria,0
Centro de Educación de Personas Adultas (CEPA) Oporto,Avenida Oporto 46,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Centro de Educación de Personas Adultas (CEPA) Orcasitas,Calle Oreja 186,Glorieta de Cádiz,Calle Antonio López nº 129,18
Centro de Educación de Personas Adultas (CEPA) Pablo Guzmán,Calle Andorra 19,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Centro de Educación de Personas Adultas (CEPA) Pan Bendito,Calle Camino Viejo De Leganes 188,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Centro de Educación de Personas Adultas (CEPA) Tetuán,Calle Pinos Alta 63,Remonta,Calle Azucenas nº 1,12
Centro de Educación de Personas Adultas (CEPA) Vallecas,Plaza Antonio Maria Segovia 1,Pavones,Calle Hacienda de Pavones nº 342,16
Centro de Educación de Personas Adultas (CEPA) Vicálvaro,Calle Lago Como 4,Pavones,Calle Hacienda de Pavones nº 342,16
Centro de Educación de Personas Adultas (CEPA) Villaverde,Calle Villalonso 10,Glorieta de Cádiz,Calle Antonio López nº 129,18
Centro de Educación de Personas Adultas (CEPA) Vista Alegre,Calle General Ricardos 179,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Centro de Enseñanza Liceo Consul,Calle Peironcely 7,Concordia,Calle Arroyo del Olivar nº 6,21
Centro de Enseñanza Pablo VI. Instituto Católico de Estudios (ICE),Calle Bravo Murillo 297,Metro Tetuán,Calle Marqués de Viana nº 3,5
Centro de Enseñanza Superior Cardenal Cisneros,Calle General Diaz Porlier 58,Juan Bravo 50,Calle Juan Bravo nº 50,6
Centro de Enseñanza Superior Villanueva,Calle Costa Brava 2,Pedro Rico,Calle Pedro Rico nº 4,0
Centro de Enseñanza Superior en Humanidades y Ciencias de la Educación Don Bosco,Calle Maria Auxiliadora 9,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Centro de Enseñanza Trazos Infografía II,Plaza España 11,Plaza de España A,Calle Princesa nº 5,0
Centro de Enseñanza Workshop Experience Group,Calle Alcala 182,Alcalá-Ventas,Calle Alejandro González nº 1,4
Centro de Estudios Castilla,Calle Oso 23,Plaza de Nelson Mandela,Calle Mesón de Paredes nº 35,5
Centro de Estudios Díaz-Balaguer,Calle Fernando El Catolico 77,Arcipreste de Hita A,Calle Arcipreste de Hita nº 12,5
Centro de Estudios Financieros,Calle Viriato 52,Santa Engracia 87,Calle Santa Engracia nº 87,9
Centro de Estudios González Cañadas,Calle Fuencarral 95,Barceló,Calle Barceló nº 7,19
Centro de Estudios Judeo - Cristianos,Calle Hilarion Eslava 50 Planta 6 Izquierda,Cea Bermúdez,Calle Cea Bermúdez nº 59,4
Centro de Formación Profesional Aspasia y las Mercedes,Calle Mercedes 19,Estrecho,Calle Navarra nº 1,0
Centro de Formación Profesional C.I.F.P. Profesor Raúl Vazquez,Carretera Villaverde A Vallecas Km 4 ,Embajadores 191,Calle Sodio nº 1B,11
Centro de Formación Profesional Fundación Laboral de la Construcción Madrid,Calle Rivas 25,Pavones,Calle Hacienda de Pavones nº 342,16
Centro de Formación Profesional José Ramón Otero,Calle Francisco Brizuela 3,Caramuel,Calle Caramuel nº 51,5
Centro de Formación Técnica,Calle Carretas 14,Jacinto Benavente,Plaza de Jacinto Benavente,21
Centro de Formación Vértice,Calle Magallanes 1,Quevedo,Glorieta de Quevedo nº 5,14
Centro de Recursos para la Comunidad Sorda Juan Luis Marroquín,Calle Islas Aleutianas 28,Facultad Derecho,Avenida Complutense nº 23,8
Centro de artes plásticas Kroom Dos Diseños,Calle Pilar De Zaragoza 104,Avenida de América 1,Calle Padre Indalecio Hernández nº 1,2
Centro de educación Adams FP,Calle Ayala 130,Alcántara,Calle Alcántara nº 2,3
Centro de educación Aprendea FP,Calle Roa 4 Esquina Joaquín Turina 22,Caramuel,Calle Caramuel nº 51,5
Centro de educación Caser formación,Avenida Burgos 109,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Centro de educación INAV FP,Avenida Moratalaz 178,Marroquina,Calle Camino de los Vinateros nº 108,16
Centro de educación INAV FP II,Calle Arroyo Fontarron 209,Pavones,Calle Hacienda de Pavones nº 342,16
Centro de educación Medac Albala,Calle Albala 5,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Centro de enseñanza Acadef Atocha,Calle Condesa Vega Del Pozo 28,Pavones,Calle Hacienda de Pavones nº 342,16
Centro de enseñanza Acadef FP Arturo Soria,Calle Duque De Tamames 9,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Centro de enseñanza Afuera I,Plaza Santa Ana 13,Plaza de Santa Ana,Plaza de Santa Ana nº 10,22
Centro de enseñanza CDP Albor Madrid,Avenida Carondelet 35,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Centro de enseñanza CESUR - Madrid,Calle Luis Cabrera 63,Prosperidad,Calle Suero de Quiñones nº 2,8
Centro de enseñanza CESUR - Madrid II,Calle Albarracin 27,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Centro de enseñanza CESUR Campus Madrid,Carretera Carabanchel A Villaverde 54,Glorieta de Cádiz,Calle Antonio López nº 129,18
Centro de enseñanza CESUR Madrid Plaza Elíptica,Calle Santa Lucrecia 11,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Centro de enseñanza CODESA,Calle Diego De Leon 34,Velázquez-Diego de León,Calle Velázquez nº 91,3
Centro de enseñanza Campus Dental Madrid,Calle Colombia 53,Colombia,Calle Colombia nº 7,6
Centro de enseñanza Campus FP Atocha,Calle Sebastian Herrera 14,Casa Encendida,Ronda de Atocha nº 34,22
Centro de enseñanza Campus FP Vistalegre Bid Data &amp; Cibersecurity Technology,Calle Antolina Merino 10,Caramuel,Calle Caramuel nº 51,5
Centro de enseñanza Cesur Open,Calle Gavia Seca 15,Pavones,Calle Hacienda de Pavones nº 342,16
Centro de enseñanza Cruz Roja,Calle Rafael Villa,Facultad Derecho,Avenida Complutense nº 23,8
Centro de enseñanza Cruz Roja Escuela Profesional,Avenida Reina Victoria 28,Pablo Iglesias,Calle Francisco Balseiro nº 1,1
Centro de enseñanza FP Madrid Aluche,Avenida Poblados 72,Caramuel,Calle Caramuel nº 51,5
Centro de enseñanza FP Madrid Villaverde,Calle Transversal Sexta 17,Glorieta de Cádiz,Calle Antonio López nº 129,18
Centro de enseñanza FP SUMMA,Calle Cidro 7,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Centro de enseñanza Feda Madrid,Avenida Burgos 12,Chamartín,Calle Rodríguez Jaén nº 40,7
Centro de enseñanza Formación Profesional Core Networks,Avenida Manoteras 32,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Centro de enseñanza Formación Profesional Gala,Avenida Eje Central 3,Concordia,Calle Arroyo del Olivar nº 6,21
Centro de enseñanza G12 Madrid Adrián Pulido,Calle Adrian Pulido 7 Y 9,Estrecho,Calle Navarra nº 1,0
Centro de enseñanza ILERNA Madrid,Calle Julian Camarillo 4,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Centro de enseñanza Innovación en Formación Profesional,Calle Julian Camarillo 6,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Centro de enseñanza Innovación en Formación Profesional II,Calle Alcala 472,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Centro de enseñanza Instede Caja Mágica,Camino Perales ,Embajadores 191,Calle Sodio nº 1B,11
Centro de enseñanza Instede FP,Plaza Eliptica 2,San Delfín,Calle San Delfín nº 9,17
Centro de enseñanza Linkia FP Madrid,Calle Albarracin 34,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Centro de enseñanza MOPE,Paseo General Martinez Campos 20,General Martínez Campos ,Calle Fernández de la Hoz nº 29,8
Centro de enseñanza MOPE - TECH,Calle Rufino Gonzalez 8,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Centro de enseñanza Metrodora Formación profesional - Madrid Río,Paseo Extremadura 32,Puerta del Ángel,Plaza Puerta del Ángel nº 4,14
Centro de enseñanza Mom culinary institute,Calle Serrano 95,Serrano 113,Calle Serrano nº 113B,8
Centro de enseñanza Sanitas campus FP,Calle Sanchez Pacheco 61,Prosperidad,Calle Suero de Quiñones nº 2,8
Centro de enseñanza TECH FP Torrevilano,Calle Embalse De Navacerrada 9,Pavones,Calle Hacienda de Pavones nº 342,16
Centro de enseñanza TECH FP Valdefuentes,Calle Babilonia 19,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Centro de enseñanza The power FP Arcángel,Calle Maqueda 4,Caramuel,Calle Caramuel nº 51,5
Centro de enseñanza The power FP Arturo Soria,Calle Arturo Soria 2,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Centro de enseñanza The power FP Caja Mágica,Avenida Los Rosales 17,Embajadores 191,Calle Sodio nº 1B,11
Centro de enseñanza Upgrade,Calle Orense 62,Sor Ángela de la Cruz,Calle Sor Ángela de la Cruz nº 2,3
Centro de enseñanza Vicente Moya Pueyo,Avenida Moncloa 18,Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,7
Centro de enseñanza Virtus Educando San José Hijas de María,Calle Marques De Viana 43 - 45,Metro Tetuán,Calle Marqués de Viana nº 3,5
"Centro de estudios Digitech, Centro de Tecnología y Digitalización",Calle Luis De Salazar 9,Corazón de María,Calle Santa Hortensia nº 31,5
Centro de estudios musicales La Mennais,Avenida Brasilia 11,Avenida Brasilia,Avenida de Brasilia frente al nº 9,6
Centro de estudios profesionales Almagro,Calle Almagro 25,Rubén Darío,Glorieta Rubén Darío 2,7
Centro de estudios profesionales Cesur Amorós,Calle Joaquin Turina 37,Caramuel,Calle Caramuel nº 51,5
Centro de estudios profesionales de la Universidad Camilo José Cela. Centro Ferraz,Calle Quintana 21,Quintana,Calle Quintana nº 11,21
Centro de estudios superiores profesionales IMF,Calle Bernardino Obregon 25,Santa María de la Cabeza,Paseo de Santa María de la Cabeza nº 58,5
Centro de formación profesional CCC,Calle Albasanz 9,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Centro de formación profesional CCC II,Calle Albasanz 12,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Centro de formación profesional CCC III,Calle San Sotero 3,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Centro de formación profesional ESSAE,Calle Isabel Colbrand 6,Pedro Rico,Calle Pedro Rico nº 4,0
Centro de formación profesional Euroformac FP,Avenida Pablo Iglesias 53,Pablo Iglesias,Calle Francisco Balseiro nº 1,1
Centro de formación profesional Madrid EEP,Calle Torrelaguna 123,Condesa de Venadito,Calle Condesa de Venadito nº 2,10
Centro de formación profesional Voxel School,Calle Vascos 25,Pablo Iglesias,Calle Francisco Balseiro nº 1,1
Centro de formación profesional oficial Clicollege FP,Calle Maria De Molina 46 Planta Bajo,Velázquez 130,Calle Velázquez nº 130,4
Centro de música Nuestra Señora de Loreto.,Calle Principe De Vergara 42,General Pardiñas,Calle General Pardiñas nº 56,6
Centro de música Tempo Musical,Calle Ramon De Aguinaga 15,Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra,13
Centro de música y danza Música Creativa,Calle Palma 35,Plaza de Juan Pujol,Calle Espíritu Santo nº 30,17
Centro educativo-terapéutico Norte,Calle Virgen De Aranzazu 5,Pedro Rico,Calle Pedro Rico nº 4,0
Centro educativo-terapéutico Pradera de San Isidro,Calle Gorrion 2,Ermita Santo,Paseo de la Ermita del Santo nº 48,5
Centro educativo-terapéutico Vallecas,Calle Quijorna S/N,Pavones,Calle Hacienda de Pavones nº 342,16
Centro integrado de enseñanzas regladas a distancia,Paseo Prado 28 Planta 8,Almadén,Calle Almadén nº 28,15
Centro oficial de formación profesional Esla - Madrid I,Calle Repulles Y Vargas 11,Caramuel,Calle Caramuel nº 51,5
Centro superior de enseñanza musical Progreso Musical,Calle Tutor 52,Altamirano,Calle Altamirano nº 24,10
Centro superior de innovación y desarrollo CHF,Calle Pirineos 55,Pablo Iglesias,Calle Francisco Balseiro nº 1,1
Cerem International Business School,Calle Cedaceros 11,Sevilla,Calle Alcalá nº 27,18
Colegio  Ingenio,Calle Zenit 15,Facultad Derecho,Avenida Complutense nº 23,8
Colegio  La Milagrosa,Calle Monseñor Oscar Romero 54,Caramuel,Calle Caramuel nº 51,5
Colegio ADDIS,Calle Vieja De Pinto 15,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio Afuera III A,Calle Francisco Vitoria 16 Otra Entrada Por Conde Cartagena 33,Puerta de Mariano de Cavia,Avenida del Mediterráneo nº 19,17
Colegio Afuera III B,Calle Angel Ganivet 12,Puerta de Mariano de Cavia,Avenida del Mediterráneo nº 19,17
Colegio Agrupación  Escolar Europa,Calle Miguel Solas 12,Embajadores 191,Calle Sodio nº 1B,11
Colegio Agustiniano,Calle Pez Austral 13,Plaza de los Astros,Avenida de Nazaret nº 7,5
Colegio Alameda de Osuna,Paseo Alameda De Osuna 60,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Alemán Centro de Formación Empresarial,Avenida Burgos 12,Chamartín,Calle Rodríguez Jaén nº 40,7
Colegio Alemán de Madrid,Calle Monasterio De Guadalupe 7,Pedro Rico,Calle Pedro Rico nº 4,0
Colegio Amor Misericordioso,Paseo San Francisco De Sales 42,San Francisco de Sales,Calle General Ampudia nº 2,8
Colegio Amor de Dios,Calle Gutierrez Canales 15,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
